owner_id,owner_age_group,owner_gender,district,neighborhood_code,breed_primary,breed_primary_is_mixed,breed_secondary,breed_secondary_is_mixed,breed_type,dog_birth_year,dog_gender,dog_color
574,61-70,female,2,23,Mixed breed (large),False,,False,large/working,2013.0,female,black
695,41-50,male,6,63,Labrador Retriever,False,,False,large/working,2012.0,female,brown
893,71-80,female,7,71,Standard Schnauzer,False,,False,large/working,2010.0,female,black
916,41-50,male,3,34,Mixed breed (small),False,,False,small/companion,2015.0,female,light brown
1177,51-60,male,10,102,Shih Tzu,False,,False,small/companion,2011.0,male,black/white
4054,51-60,female,11,111,Lagotto Romagnolo,False,,False,large/working,2016.0,female,white/beige
4135,41-50,female,9,91,Mixed breed (small),False,,False,small/companion,2016.0,female,black
4206,71-80,female,8,82,Havanese,False,,False,small/companion,2016.0,female,light brown/white
4281,61-70,female,9,91,Chihuahua,False,,False,small/companion,2011.0,female,light brown
4388,61-70,female,11,115,Pug,False,,False,small/companion,2006.0,male,beige
4726,51-60,male,5,52,Mixed breed (large),False,,False,large/working,2007.0,male,black
4726,51-60,male,5,52,Golden Retriever,False,,False,large/working,2013.0,female,cream
4747,61-70,male,2,24,Chihuahua,False,,False,small/companion,2013.0,male,white/brown
4850,51-60,male,4,42,Chihuahua,False,,False,small/companion,2013.0,female,beige
4862,51-60,male,4,42,Pug,False,,False,small/companion,2006.0,male,brown
5040,61-70,male,10,102,Labrador Retriever,False,,False,large/working,2016.0,female,yellow
5088,61-70,male,7,72,Labrador Retriever,False,,False,large/working,2014.0,female,black
5113,61-70,male,11,119,Beagle,False,,False,small/companion,2010.0,female,tricolor
5113,61-70,male,11,119,Chihuahua,False,,False,small/companion,2017.0,female,beige
5225,71-80,male,3,34,Lagotto Romagnolo,False,,False,large/working,2007.0,male,brown
5227,71-80,male,10,101,Border Terrier,False,,False,small/companion,2011.0,female,tricolor
5406,51-60,male,6,61,French Bulldog,False,,False,small/companion,2013.0,male,white/black
5740,51-60,male,9,92,Jack Russel Terrier,False,,False,small/companion,2015.0,female,white/brown
6071,71-80,male,3,34,Pointer,False,,False,large/working,2012.0,female,black/brown
6071,71-80,male,3,34,Pointer,True,,False,large/working,2016.0,male,black
6078,51-60,female,12,121,Chihuahua,False,,False,small/companion,2011.0,female,brown/white
6078,51-60,female,12,121,Chihuahua,False,,False,small/companion,2011.0,female,brown
6130,61-70,female,10,101,Mixed breed (large),False,,False,large/working,2017.0,male,black
6469,51-60,male,11,111,Pug,False,,False,small/companion,2011.0,male,beige
6594,51-60,male,7,72,Staffordshire Bullterrier,False,,False,restricted/dangerous,2005.0,female,mahogany/white
6600,61-70,male,6,63,Shetland Sheepdog,False,,False,small/companion,2012.0,female,tricolor
6617,61-70,female,12,122,Standard Poodle,False,,False,large/working,2019.0,female,white
6640,51-60,male,8,82,English Bulldog,False,,False,large/working,2011.0,male,brown/white
12371,61-70,female,2,23,Chihuahua,False,,False,small/companion,2017.0,female,brown/white
12409,71-80,male,9,91,Mixed breed (small),False,,False,small/companion,2008.0,female,white/black/brown
13193,61-70,male,11,111,Long-haired Dachshund,False,,False,small/companion,2005.0,female,light brown
14387,71-80,male,5,52,Miniature Pinscher,False,,False,small/companion,2015.0,male,black/brown
14550,81-90,male,12,122,Biewer Yorkshire Terrier,False,,False,small/companion,2015.0,female,tricolor
15456,41-50,male,2,21,Chihuahua,False,,False,small/companion,2015.0,female,black/white
15456,41-50,male,2,21,Chihuahua,False,,False,small/companion,2010.0,male,black
15490,61-70,male,9,92,Parson Jack Russell Terrier,False,,False,small/companion,2015.0,male,white/blue
15530,61-70,male,2,21,Pug,False,,False,small/companion,2017.0,male,white/beige
15639,61-70,male,11,119,Maltese,False,,False,small/companion,2013.0,female,white
18010,61-70,male,3,34,Pit Bull Terrier,False,,False,restricted/dangerous,2003.0,male,black/white
18020,51-60,male,5,52,Labrador Retriever,False,,False,large/working,2011.0,female,black
18130,21-30,male,11,119,Pomeranian,False,,False,small/companion,2017.0,male,white
18254,61-70,female,11,115,Bolonka Zwetna,False,,False,small/companion,2017.0,male,white
18360,41-50,female,3,31,Mixed breed (large),False,,False,large/working,2010.0,female,white
18416,61-70,male,7,72,Pomeranian (Zwergspitz),False,,False,small/companion,2016.0,male,white
18462,51-60,male,6,63,Border Collie,False,,False,large/working,2015.0,male,tricolor
19004,51-60,male,5,52,Maltese,False,,False,small/companion,2014.0,male,white
19225,71-80,female,12,122,Newfoundland,False,,False,large/working,2016.0,male,brown/white
19652,61-70,female,2,24,Mixed breed (small),False,,False,small/companion,2007.0,female,brown
19900,51-60,female,5,51,German Spitz (Small),False,,False,small/companion,2015.0,male,brown/black
20351,51-60,female,10,101,Labrador Retriever,False,,False,large/working,2011.0,male,brown
20762,61-70,male,4,42,Miniature Poodle,False,,False,small/companion,2012.0,male,apricot
20949,61-70,male,11,111,Shiba Inu,True,,False,small/companion,2014.0,female,beige
21002,71-80,male,7,71,Mixed breed (large),False,,False,large/working,2011.0,male,cream
21793,61-70,female,11,115,Mixed breed (small),False,,False,small/companion,2014.0,female,black
21828,71-80,female,7,74,Spitz (generic),True,,False,small/companion,2013.0,male,white/beige
21865,71-80,male,6,61,Fox Terrier,False,,False,small/companion,2017.0,male,black/white
22186,41-50,male,8,82,Labrador Retriever,False,Border Collie,False,large/working,2009.0,male,black
22378,51-60,male,7,72,Kooikerhondje,False,,False,small/companion,2010.0,female,white/orange
22750,61-70,male,2,21,Jack Russel Terrier,False,,False,small/companion,2013.0,female,white/brown
22776,51-60,male,11,119,Bernese Mountain Dog,False,,False,large/working,2014.0,male,tricolor
22950,61-70,female,11,119,Medium Poodle,False,,False,small/companion,2013.0,female,black
23054,61-70,female,10,101,Cairn Terrier,False,,False,small/companion,2011.0,male,red/beige
23408,41-50,male,12,122,Yorkshire Terrier,False,,False,small/companion,2011.0,female,black/tan
23453,41-50,male,11,111,Golden Retriever,False,Rottweiler,False,large/working,2016.0,female,black/white/brown
23493,61-70,male,11,111,Boxer,False,,False,large/working,2013.0,male,brown/white
23590,61-70,female,9,92,Affenpinscher,True,,False,small/companion,2012.0,female,black
23750,41-50,female,8,81,Parson Jack Russell Terrier,False,,False,small/companion,2019.0,male,tricolor
23889,61-70,female,4,42,Poodle,False,,False,small/companion,2012.0,male,brown
